Identificator;Date;Month;Day;Year;Hour;Minute;Second;Temperature;Relative_humidity;Light;Soil_temperature;Permittivity;Electroconductivity;Volumetric_water_content;Diameter;Battery_voltage
16948738;2022-01-01 00:13:35;1;1;2022;0;13;35;21.69;86;382;23.81;21.69;299;0.2;;3.81
16949468;2022-01-01 00:25:48;1;1;2022;0;25;48;22.07;86;462;23.79;21.63;299;0.2;;3.83
16949579;2022-01-01 00:28:09;1;1;2022;0;28;9;22.05;85;413;23.81;21.38;298;0.198;;3.83
16950810;2022-01-01 00:49:46;1;1;2022;0;49;46;22.22;85;417;23.76;21.69;299;0.2;;3.83
16951778;2022-01-01 01:06:33;1;1;2022;1;6;33;22.23;86;431;23.76;21.69;299;0.2;;3.82
16952570;2022-01-01 01:20:55;1;1;2022;1;20;55;22.14;86;354;23.73;21.31;298;0.198;;3.82
16953150;2022-01-01 01:37:05;1;1;2022;1;37;5;22.38;86;716;23.73;21.75;306;0.201;;3.84
16953217;2022-01-01 01:39:15;1;1;2022;1;39;15;22.48;86;798;23.73;21.69;298;0.2;;3.85
16953346;2022-01-01 01:43:55;1;1;2022;1;43;55;22.6;86;726;23.73;21.5;298;0.199;;3.85
16953517;2022-01-01 01:51:05;1;1;2022;1;51;5;23.01;85;954;23.73;21.75;295;0.201;;3.87
16953577;2022-01-01 01:53:21;1;1;2022;1;53;21;23.13;84;944;23.71;21.63;298;0.2;;3.87
16953779;2022-01-01 02:00:28;1;1;2022;2;0;28;24.2;80;971;23.71;21.56;298;0.2;;3.89
16953839;2022-01-01 02:02:50;1;1;2022;2;2;50;24.26;80;882;23.71;21.56;298;0.2;;3.88
16954131;2022-01-01 02:14:01;1;1;2022;2;14;1;24.36;79;655;23.73;21.75;298;0.201;;3.88
16954606;2022-01-01 02:32:41;1;1;2022;2;32;41;25.25;77;1101;23.71;21.31;298;0.198;;3.91
16954658;2022-01-01 02:34:50;1;1;2022;2;34;50;25.59;76;1075;23.71;21.94;297;0.202;;3.91
16954850;2022-01-01 02:41:30;1;1;2022;2;41;30;24.77;77;777;23.71;21.56;298;0.2;;3.89
16955017;2022-01-01 02:48:10;1;1;2022;2;48;10;24.93;79;647;23.71;21.31;297;0.198;;3.9
16955974;2022-01-01 03:25:01;1;1;2022;3;25;1;24.33;77;1410;23.66;21.31;297;0.198;;3.9
16957065;2022-01-01 04:08:37;1;1;2022;4;8;37;27.01;70;2164;23.66;21.69;296;0.201;;3.95
16957305;2022-01-01 04:18:11;1;1;2022;4;18;11;26.32;72;1740;23.63;21.69;297;0.201;;3.99
16957545;2022-01-01 04:27:49;1;1;2022;4;27;49;25.87;73;2417;23.63;21.69;296;0.201;;3.99
16958255;2022-01-01 04:56:06;1;1;2022;4;56;6;25.73;71;2379;23.63;21.5;296;0.199;;3.94
16958382;2022-01-01 05:00:49;1;1;2022;5;0;49;25.96;70;2973;23.63;21.63;296;0.2;;3.96
16958494;2022-01-01 05:05:13;1;1;2022;5;5;13;26.83;68;3275;23.63;21.31;296;0.198;;3.99
16958713;2022-01-01 05:14:07;1;1;2022;5;14;7;26.78;70;3397;23.61;21.88;296;0.202;;3.99
16958871;2022-01-01 05:20:50;1;1;2022;5;20;50;26.57;70;3256;23.61;21.44;296;0.199;;3.99
16959320;2022-01-01 05:39:14;1;1;2022;5;39;14;27.19;67;1746;23.63;21.44;296;0.199;;3.96
16959625;2022-01-01 05:51:11;1;1;2022;5;51;11;27.16;68;2160;23.61;21.5;296;0.199;;3.99
16959974;2022-01-01 06:05:30;1;1;2022;6;5;30;27.4;67;1946;23.61;21.38;300;0.199;;3.99
16960134;2022-01-01 06:12:18;1;1;2022;6;12;18;26.96;68;1525;23.63;21.5;295;0.199;;3.96
16960356;2022-01-01 06:21:27;1;1;2022;6;21;27;27.14;68;1846;23.61;21.63;295;0.2;;3.98
16960521;2022-01-01 06:28:08;1;1;2022;6;28;8;27.4;65;1888;23.63;21.5;295;0.199;;3.98
16960627;2022-01-01 06:32:33;1;1;2022;6;32;33;26.75;68;1980;23.61;21.56;296;0.2;;3.98
16960686;2022-01-01 06:34:42;1;1;2022;6;34;42;26.57;68;2463;23.61;21.56;295;0.2;;3.99
16960739;2022-01-01 06:36:58;1;1;2022;6;36;58;26.5;69;1354;23.63;21.75;295;0.201;;3.9
16960974;2022-01-01 06:46:20;1;1;2022;6;46;20;26.53;70;1238;23.61;21.56;295;0.2;;3.91
16961194;2022-01-01 06:56:05;1;1;2022;6;56;5;26.51;71;2551;23.63;21.56;295;0.2;;3.98
