Identificator;Date;Month;Day;Year;Hour;Minute;Second;Temperature;Relative_humidity;Light;Soil_temperature;Permittivity;Electroconductivity;Volumetric_water_content;Diameter;Battery_voltage
16948396;2022-01-01 00:03:47;1;1;2022;0;3;47;21.66;76;2013;23.71;9.41;17;0.208;6.2382;3.88
16948529;2022-01-01 00:09:11;1;1;2022;0;9;11;21.8;76;2058;23.68;9.46;17;0.209;6.2387;3.88
16948786;2022-01-01 00:14:30;1;1;2022;0;14;30;21.97;76;2473;23.71;9.74;17;0.214;6.2392;3.89
16950360;2022-01-01 00:41:31;1;1;2022;0;41;31;23.25;73;5172;23.71;9.26;17;0.205;6.2441;3.91
16951259;2022-01-01 00:57:31;1;1;2022;0;57;31;22.51;74;4544;23.66;9.33;17;0.206;6.2444;3.91
16951869;2022-01-01 01:08:13;1;1;2022;1;8;13;22.46;75;4368;23.63;9.31;17;0.206;6.2451;3.9
16952178;2022-01-01 01:13:36;1;1;2022;1;13;36;22.44;75;4213;23.63;9.26;17;0.205;6.2454;3.9
16953263;2022-01-01 01:41:27;1;1;2022;1;41;27;22.65;76;6904;23.63;9.64;17;0.212;6.2471;3.93
16953547;2022-01-01 01:52:22;1;1;2022;1;52;22;23.28;74;8231;23.63;9.31;17;0.206;6.2489;3.96
16953554;2022-01-01 01:52:32;1;1;2022;1;52;32;23.28;74;8231;23.63;9.31;17;0.206;6.2489;3.96
16953699;2022-01-01 01:58:02;1;1;2022;1;58;2;24.05;73;6668;23.61;9.66;17;0.213;;3.94
16953855;2022-01-01 02:03:19;1;1;2022;2;3;19;24.69;71;7201;23.61;9.59;17;0.212;6.2518;3.94
16953993;2022-01-01 02:08:36;1;1;2022;2;8;36;24.66;70;5976;23.61;9.38;17;0.208;6.2516;3.92
16954404;2022-01-01 02:24:39;1;1;2022;2;24;39;25.28;68;9777;23.61;9.46;17;0.209;6.256;3.97
16954680;2022-01-01 02:35:35;1;1;2022;2;35;35;25.2;66;8470;23.71;9.48;17;0.209;6.2562;3.95
16955116;2022-01-01 02:51:31;1;1;2022;2;51;31;24.14;70;4842;23.61;9.69;17;0.214;6.2564;3.91
16955247;2022-01-01 02:56:54;1;1;2022;2;56;54;24.05;70;5468;23.61;9.31;17;0.206;6.2559;3.92
16955382;2022-01-01 03:02:12;1;1;2022;3;2;12;24.06;69;8259;23.61;9.29;17;0.206;6.2563;3.95
16955791;2022-01-01 03:18:22;1;1;2022;3;18;22;24.51;67;6400;23.61;9.26;17;0.205;6.2578;3.93
16955932;2022-01-01 03:23:39;1;1;2022;3;23;39;24.4;67;7746;23.63;9.61;17;0.212;6.2574;3.94
16956070;2022-01-01 03:28:56;1;1;2022;3;28;56;24.43;68;7804;23.63;9.31;17;0.206;6.2582;3.94
16956339;2022-01-01 03:39:29;1;1;2022;3;39;29;24.91;65;8748;23.63;9.26;16;0.205;6.2601;3.94
16956481;2022-01-01 03:44:46;1;1;2022;3;44;46;24.73;65;6848;23.63;9.48;17;0.209;6.2602;3.93
16956745;2022-01-01 03:55:25;1;1;2022;3;55;25;25.35;64;10071;23.63;9.24;16;0.205;6.2621;3.88
16956879;2022-01-01 04:00:41;1;1;2022;4;0;41;25.05;65;29714;23.71;9.59;16;0.211;6.2619;3.97
16957002;2022-01-01 04:05:57;1;1;2022;4;5;57;26.21;63;36430;23.66;9.51;17;0.21;6.2667;3.88
16957406;2022-01-01 04:21:56;1;1;2022;4;21;56;25.56;63;12328;23.66;9.61;16;0.212;6.2665;3.88
16957664;2022-01-01 04:32:33;1;1;2022;4;32;33;25.6;63;9913;23.66;9.64;17;0.212;6.266;3.88
16957798;2022-01-01 04:37:55;1;1;2022;4;37;55;26.49;63;36287;23.68;9.21;17;0.204;6.2711;3.88
16957935;2022-01-01 04:43:22;1;1;2022;4;43;22;27.46;59;15155;23.68;9.24;16;0.205;6.2727;3.88
16958081;2022-01-01 04:48:38;1;1;2022;4;48;38;26.48;60;14009;23.71;9.21;17;0.204;6.2697;3.88
16958472;2022-01-01 05:04:35;1;1;2022;5;4;35;25.98;61;23035;23.73;9.26;17;0.205;6.2698;3.88
16958739;2022-01-01 05:15:17;1;1;2022;5;15;17;25.53;62;9065;23.73;9.61;17;0.211;6.2686;3.88
16959254;2022-01-01 05:36:37;1;1;2022;5;36;37;25.84;62;24558;23.81;9.29;16;0.205;6.2691;3.88
16959389;2022-01-01 05:41:53;1;1;2022;5;41;53;26.49;61;30980;23.81;9.19;17;0.203;6.2719;3.88
16959788;2022-01-01 05:57:51;1;1;2022;5;57;51;27.58;58;34519;23.84;9.56;17;0.21;6.2764;3.88
16960049;2022-01-01 06:08:34;1;1;2022;6;8;34;28.32;57;28939;23.86;9.26;17;0.204;6.2775;3.88
16960302;2022-01-01 06:19:08;1;1;2022;6;19;8;27.89;57;27554;23.89;9.56;17;0.209;6.2785;3.88
16960560;2022-01-01 06:29:42;1;1;2022;6;29;42;27.19;58;25977;23.89;9.24;17;0.203;6.2772;3.88
16960689;2022-01-01 06:34:57;1;1;2022;6;34;57;27.59;58;26803;23.94;9.21;17;0.202;6.2789;3.88
16960820;2022-01-01 06:40:11;1;1;2022;6;40;11;27.68;57;26437;23.99;9.54;17;0.208;6.2785;3.88
16960950;2022-01-01 06:45:26;1;1;2022;6;45;26;27.97;58;25878;23.99;9.51;16;0.208;6.2804;3.88
16961079;2022-01-01 06:50:40;1;1;2022;6;50;40;27.73;57;24087;23.99;9.36;17;0.205;6.2771;3.88
16961192;2022-01-01 06:55:55;1;1;2022;6;55;55;27.44;59;22525;24.04;9.19;17;0.201;6.2797;3.88
16961593;2022-01-01 07:11:41;1;1;2022;7;11;41;27.93;58;12914;24.09;9.21;17;0.201;6.2834;3.88
16961718;2022-01-01 07:16:56;1;1;2022;7;16;56;26.82;60;7645;24.11;9.29;17;0.203;6.2795;3.88
16962105;2022-01-01 07:32:52;1;1;2022;7;32;52;26.72;61;12838;24.16;9.16;17;0.2;6.2786;3.88
16962505;2022-01-01 07:49:14;1;1;2022;7;49;14;25.67;65;8941;24.24;9.54;16;0.206;6.2744;3.93
16962632;2022-01-01 07:54:29;1;1;2022;7;54;29;26.86;62;8583;24.27;9.38;16;0.203;6.2795;3.88
16963037;2022-01-01 08:10:21;1;1;2022;8;10;21;26.38;62;4728;24.34;9.41;16;0.203;6.2762;3.91
16963166;2022-01-01 08:15:37;1;1;2022;8;15;37;26.34;62;4648;24.37;9.21;16;0.199;6.2766;3.91
16963294;2022-01-01 08:20:52;1;1;2022;8;20;52;26.41;62;4101;24.39;9.11;16;0.197;6.276;3.91
16963425;2022-01-01 08:26:07;1;1;2022;8;26;7;26.45;61;6452;24.42;9.14;16;0.197;6.2766;3.93
16963561;2022-01-01 08:31:22;1;1;2022;8;31;22;26.35;62;6872;24.37;9.61;17;0.207;6.2764;3.88
16963695;2022-01-01 08:36:38;1;1;2022;8;36;38;26.47;62;5588;24.44;9.11;16;0.197;6.2758;3.92
16964255;2022-01-01 08:57:55;1;1;2022;8;57;55;25.03;66;2980;24.52;9.41;16;0.202;6.27;3.9
16964383;2022-01-01 09:03:11;1;1;2022;9;3;11;24.43;68;2930;24.54;9.16;16;0.197;6.2679;3.9
16964674;2022-01-01 09:13:50;1;1;2022;9;13;50;24.63;67;2722;24.57;9.48;16;0.203;6.2666;3.9
16964955;2022-01-01 09:24:29;1;1;2022;9;24;29;24.31;68;2739;24.59;9.46;16;0.202;6.2648;3.9
16965095;2022-01-01 09:29:46;1;1;2022;9;29;46;24.28;68;2255;24.62;9.59;16;0.205;6.2642;3.9
16965660;2022-01-01 09:51:05;1;1;2022;9;51;5;23.54;70;1795;24.64;9.26;16;0.198;6.2612;3.89
16966375;2022-01-01 10:18:12;1;1;2022;10;18;12;22.77;72;783;24.67;9.11;16;0.195;6.2573;3.88
16966667;2022-01-01 10:28:54;1;1;2022;10;28;54;22.54;72;339;24.67;9.46;16;0.202;6.2561;3.88
16967095;2022-01-01 10:45:02;1;1;2022;10;45;2;22.26;73;24;24.72;9.29;16;0.198;6.2544;3.88
16967371;2022-01-01 10:55:54;1;1;2022;10;55;54;22.1;74;0;24.69;9.21;16;0.197;6.2533;3.88
16967516;2022-01-01 11:01:13;1;1;2022;11;1;13;22.04;74;0;24.72;9.43;16;0.201;6.2527;3.88
16967799;2022-01-01 11:12:05;1;1;2022;11;12;5;21.89;75;0;24.69;9.48;16;0.202;6.2515;3.88
16967931;2022-01-01 11:17:24;1;1;2022;11;17;24;21.9;75;0;24.72;9.14;16;0.195;6.251;3.88
16968222;2022-01-01 11:28:12;1;1;2022;11;28;12;21.75;76;0;24.67;9.43;16;0.201;6.2499;3.88
16968518;2022-01-01 11:39:08;1;1;2022;11;39;8;21.54;77;0;24.72;9.48;16;0.202;6.2485;3.88
16968667;2022-01-01 11:44:28;1;1;2022;11;44;28;21.48;78;0;24.82;9.51;16;0.202;6.2478;3.88
16968950;2022-01-01 11:55:12;1;1;2022;11;55;12;21.46;77;0;24.79;9.31;16;0.198;6.2472;3.88
16969089;2022-01-01 12:00:32;1;1;2022;12;0;32;21.5;77;0;24.79;9.51;16;0.202;6.2469;3.88
16969494;2022-01-01 12:16:42;1;1;2022;12;16;42;21.49;77;0;24.64;9.14;16;0.196;6.2462;3.88
16969630;2022-01-01 12:22:02;1;1;2022;12;22;2;21.51;77;0;24.67;9.24;16;0.198;6.246;3.88
16970028;2022-01-01 12:38:19;1;1;2022;12;38;19;21.5;78;0;24.64;9.14;16;0.196;6.2449;3.88
16970169;2022-01-01 12:43:39;1;1;2022;12;43;39;21.46;78;0;24.62;9.36;16;0.2;6.2449;3.88
16970432;2022-01-01 12:54:23;1;1;2022;12;54;23;21.45;79;0;24.62;9.41;16;0.201;6.2442;3.88
16970584;2022-01-01 12:59:43;1;1;2022;12;59;43;21.38;79;0;24.62;9.38;16;0.201;6.2437;3.88
16970724;2022-01-01 13:05:02;1;1;2022;13;5;2;21.33;79;0;24.62;9.48;16;0.203;6.2432;3.88
16970864;2022-01-01 13:10:22;1;1;2022;13;10;22;21.51;78;0;24.62;9.16;16;0.196;6.2432;3.88
16970996;2022-01-01 13:15:41;1;1;2022;13;15;41;21.54;78;0;24.59;9.31;16;0.2;6.243;3.88
16971263;2022-01-01 13:26:20;1;1;2022;13;26;20;21.32;79;0;24.57;9.11;16;0.196;6.2422;3.88
16971390;2022-01-01 13:31:39;1;1;2022;13;31;39;21.29;79;0;24.57;9.33;16;0.2;6.2423;3.88
16971520;2022-01-01 13:36:58;1;1;2022;13;36;58;21.23;80;0;24.52;9.09;16;0.196;6.2419;3.88
16971781;2022-01-01 13:47:44;1;1;2022;13;47;44;21.25;80;0;24.52;9.36;16;0.201;6.2418;3.88
16972048;2022-01-01 13:58:29;1;1;2022;13;58;29;21.23;80;0;24.52;9.33;16;0.2;6.2415;3.88
16972330;2022-01-01 14:09:14;1;1;2022;14;9;14;21.37;79;0;24.52;9.26;16;0.199;6.2415;3.88
16972587;2022-01-01 14:20:00;1;1;2022;14;20;0;21.08;80;0;24.52;9.24;16;0.199;6.2406;3.88
16972707;2022-01-01 14:25:26;1;1;2022;14;25;26;20.92;81;0;24.49;9.09;16;0.196;6.2403;3.88
16972713;2022-01-01 14:25:37;1;1;2022;14;25;37;20.92;81;0;24.49;9.09;16;0.196;6.2403;3.88
16972843;2022-01-01 14:30:57;1;1;2022;14;30;57;20.91;81;0;24.49;9.06;16;0.195;6.24;3.88
16973091;2022-01-01 14:41:42;1;1;2022;14;41;42;21.02;81;0;24.44;9.36;16;0.202;6.2399;3.88
16973210;2022-01-01 14:47:02;1;1;2022;14;47;2;20.98;81;0;24.44;8.99;16;0.194;6.2394;3.88
16973332;2022-01-01 14:52:21;1;1;2022;14;52;21;20.96;81;0;24.44;9.38;16;0.202;6.2393;3.88
16973578;2022-01-01 15:03:14;1;1;2022;15;3;14;20.87;82;0;24.47;9.14;16;0.197;6.2388;3.88
16973954;2022-01-01 15:19:20;1;1;2022;15;19;20;20.56;83;0;24.42;9.24;16;0.199;6.2378;3.88
16974463;2022-01-01 15:41:04;1;1;2022;15;41;4;20.56;83;0;24.37;9.09;16;0.197;6.2372;3.88
16974839;2022-01-01 15:57:17;1;1;2022;15;57;17;20.61;82;0;24.34;9.46;16;0.204;6.236;3.88
16975084;2022-01-01 16:07:57;1;1;2022;16;7;57;20.6;82;0;24.29;9.11;16;0.198;6.2356;3.88
16975215;2022-01-01 16:13:17;1;1;2022;16;13;17;20.56;82;0;24.34;9.29;16;0.201;6.2357;3.88
16975462;2022-01-01 16:24:03;1;1;2022;16;24;3;20.79;81;0;24.34;9.21;16;0.199;6.2361;3.88
16975584;2022-01-01 16:29:23;1;1;2022;16;29;23;20.96;81;0;24.32;9.33;16;0.202;6.2361;3.88
16975705;2022-01-01 16:34:43;1;1;2022;16;34;43;20.98;81;0;24.32;9.09;16;0.197;6.2362;3.88
16975831;2022-01-01 16:40:02;1;1;2022;16;40;2;20.98;81;0;24.32;9.38;16;0.203;6.2363;3.88
16975954;2022-01-01 16:45:22;1;1;2022;16;45;22;20.85;81;0;24.32;9.09;16;0.197;6.236;3.88
16976306;2022-01-01 17:01:27;1;1;2022;17;1;27;20.72;82;0;24.27;9.41;16;0.204;6.2358;3.88
16976430;2022-01-01 17:06:47;1;1;2022;17;6;47;20.81;81;0;24.24;8.99;16;0.196;6.236;3.88
16976554;2022-01-01 17:12:13;1;1;2022;17;12;13;20.7;82;0;24.24;9.33;16;0.202;6.2357;3.88
16976803;2022-01-01 17:23:18;1;1;2022;17;23;18;20.59;82;0;24.22;9.33;16;0.203;6.2357;3.88
16976930;2022-01-01 17:28:38;1;1;2022;17;28;38;20.51;83;0;24.22;9.43;16;0.204;6.2356;3.88
16977058;2022-01-01 17:33:58;1;1;2022;17;33;58;20.44;83;0;24.24;9.36;16;0.203;6.2355;3.88
16977196;2022-01-01 17:39:17;1;1;2022;17;39;17;20.46;83;0;24.22;9.21;16;0.2;6.2356;3.88
16977316;2022-01-01 17:44:37;1;1;2022;17;44;37;20.56;83;0;24.22;9.04;16;0.197;6.2356;3.88
16977573;2022-01-01 17:55:17;1;1;2022;17;55;17;20.48;83;0;24.19;9.09;16;0.198;6.2353;3.88
16977826;2022-01-01 18:06:04;1;1;2022;18;6;4;20.37;83;0;24.14;9.11;16;0.199;6.2351;3.88
16977966;2022-01-01 18:11:24;1;1;2022;18;11;24;20.35;84;0;24.16;9.06;16;0.198;6.2351;3.88
16978089;2022-01-01 18:16:44;1;1;2022;18;16;44;20.32;83;0;24.14;9.24;16;0.201;6.235;3.88
16978224;2022-01-01 18:22:04;1;1;2022;18;22;4;20.31;83;0;24.16;9.14;16;0.199;6.2349;3.88
16978495;2022-01-01 18:32:50;1;1;2022;18;32;50;20.26;83;0;24.11;9.04;16;0.198;6.2346;3.88
16978882;2022-01-01 18:48:57;1;1;2022;18;48;57;20.44;83;0;24.11;9.19;16;0.201;6.2349;3.88
