Identificator;Date;Month;Day;Year;Hour;Minute;Second;Temperature;Relative_humidity;Vapor_Pressure_Deficit;Light;Soil_temperature;Permittivity;Electroconductivity;Volumetric_water_content;Diameter;Photosynthetically_Active_Radiation;Battery_voltage
16948396;2022-01-01 00:03:47;1;1;2022;0;3;47;21.66;76;0.62;2013;23.71;9.41;17;0.208;6.2382;111.83;3.88
16948529;2022-01-01 00:09:11;1;1;2022;0;9;11;21.8;76;0.63;2058;23.68;9.46;17;0.209;6.2387;114.33;3.88
16948786;2022-01-01 00:14:30;1;1;2022;0;14;30;21.97;76;0.63;2473;23.71;9.74;17;0.214;6.2392;137.39;3.89
16950360;2022-01-01 00:41:31;1;1;2022;0;41;31;23.25;73;0.77;5172;23.71;9.26;17;0.205;6.2441;287.33;3.91
16951259;2022-01-01 00:57:31;1;1;2022;0;57;31;22.51;74;0.71;4544;23.66;9.33;17;0.206;6.2444;252.44;3.91
16951869;2022-01-01 01:08:13;1;1;2022;1;8;13;22.46;75;0.68;4368;23.63;9.31;17;0.206;6.2451;242.67;3.9
16952178;2022-01-01 01:13:36;1;1;2022;1;13;36;22.44;75;0.68;4213;23.63;9.26;17;0.205;6.2454;234.06;3.9
16953263;2022-01-01 01:41:27;1;1;2022;1;41;27;22.65;76;0.66;6904;23.63;9.64;17;0.212;6.2471;383.56;3.93
16953547;2022-01-01 01:52:22;1;1;2022;1;52;22;23.28;74;0.74;8231;23.63;9.31;17;0.206;6.2489;457.28;3.96
16953554;2022-01-01 01:52:32;1;1;2022;1;52;32;23.28;74;0.74;8231;23.63;9.31;17;0.206;6.2489;457.28;3.96
16953699;2022-01-01 01:58:02;1;1;2022;1;58;2;24.05;73;0.81;6668;23.61;9.66;17;0.213;;370.44;3.94
16953855;2022-01-01 02:03:19;1;1;2022;2;3;19;24.69;71;0.9;7201;23.61;9.59;17;0.212;6.2518;400.06;3.94
16953993;2022-01-01 02:08:36;1;1;2022;2;8;36;24.66;70;0.93;5976;23.61;9.38;17;0.208;6.2516;332;3.92
16954404;2022-01-01 02:24:39;1;1;2022;2;24;39;25.28;68;1.03;9777;23.61;9.46;17;0.209;6.256;543.17;3.97
16954680;2022-01-01 02:35:35;1;1;2022;2;35;35;25.2;66;1.09;8470;23.71;9.48;17;0.209;6.2562;470.56;3.95
16955116;2022-01-01 02:51:31;1;1;2022;2;51;31;24.14;70;0.9;4842;23.61;9.69;17;0.214;6.2564;269;3.91
16955247;2022-01-01 02:56:54;1;1;2022;2;56;54;24.05;70;0.9;5468;23.61;9.31;17;0.206;6.2559;303.78;3.92
16955382;2022-01-01 03:02:12;1;1;2022;3;2;12;24.06;69;0.93;8259;23.61;9.29;17;0.206;6.2563;458.83;3.95
16955791;2022-01-01 03:18:22;1;1;2022;3;18;22;24.51;67;1.02;6400;23.61;9.26;17;0.205;6.2578;355.56;3.93
16955932;2022-01-01 03:23:39;1;1;2022;3;23;39;24.4;67;1.01;7746;23.63;9.61;17;0.212;6.2574;430.33;3.94
16956070;2022-01-01 03:28:56;1;1;2022;3;28;56;24.43;68;0.98;7804;23.63;9.31;17;0.206;6.2582;433.56;3.94
16956339;2022-01-01 03:39:29;1;1;2022;3;39;29;24.91;65;1.1;8748;23.63;9.26;16;0.205;6.2601;486;3.94
16956481;2022-01-01 03:44:46;1;1;2022;3;44;46;24.73;65;1.09;6848;23.63;9.48;17;0.209;6.2602;380.44;3.93
16956745;2022-01-01 03:55:25;1;1;2022;3;55;25;25.35;64;1.16;10071;23.63;9.24;16;0.205;6.2621;559.5;3.88
16956879;2022-01-01 04:00:41;1;1;2022;4;0;41;25.05;65;1.11;29714;23.71;9.59;16;0.211;6.2619;1650.78;3.97
16957002;2022-01-01 04:05:57;1;1;2022;4;5;57;26.21;63;1.26;36430;23.66;9.51;17;0.21;6.2667;2023.89;3.88
16957406;2022-01-01 04:21:56;1;1;2022;4;21;56;25.56;63;1.21;12328;23.66;9.61;16;0.212;6.2665;684.89;3.88
16957664;2022-01-01 04:32:33;1;1;2022;4;32;33;25.6;63;1.21;9913;23.66;9.64;17;0.212;6.266;550.72;3.88
16957798;2022-01-01 04:37:55;1;1;2022;4;37;55;26.49;63;1.28;36287;23.68;9.21;17;0.204;6.2711;2015.94;3.88
16957935;2022-01-01 04:43:22;1;1;2022;4;43;22;27.46;59;1.5;15155;23.68;9.24;16;0.205;6.2727;841.94;3.88
16958081;2022-01-01 04:48:38;1;1;2022;4;48;38;26.48;60;1.38;14009;23.71;9.21;17;0.204;6.2697;778.28;3.88
16958472;2022-01-01 05:04:35;1;1;2022;5;4;35;25.98;61;1.31;23035;23.73;9.26;17;0.205;6.2698;1279.72;3.88
16958739;2022-01-01 05:15:17;1;1;2022;5;15;17;25.53;62;1.24;9065;23.73;9.61;17;0.211;6.2686;503.61;3.88
16959254;2022-01-01 05:36:37;1;1;2022;5;36;37;25.84;62;1.27;24558;23.81;9.29;16;0.205;6.2691;1364.33;3.88
16959389;2022-01-01 05:41:53;1;1;2022;5;41;53;26.49;61;1.35;30980;23.81;9.19;17;0.203;6.2719;1721.11;3.88
16959788;2022-01-01 05:57:51;1;1;2022;5;57;51;27.58;58;1.55;34519;23.84;9.56;17;0.21;6.2764;1917.72;3.88
16960049;2022-01-01 06:08:34;1;1;2022;6;8;34;28.32;57;1.66;28939;23.86;9.26;17;0.204;6.2775;1607.72;3.88
16960302;2022-01-01 06:19:08;1;1;2022;6;19;8;27.89;57;1.61;27554;23.89;9.56;17;0.209;6.2785;1530.78;3.88
16960560;2022-01-01 06:29:42;1;1;2022;6;29;42;27.19;58;1.51;25977;23.89;9.24;17;0.203;6.2772;1443.17;3.88
16960689;2022-01-01 06:34:57;1;1;2022;6;34;57;27.59;58;1.55;26803;23.94;9.21;17;0.202;6.2789;1489.06;3.88
16960820;2022-01-01 06:40:11;1;1;2022;6;40;11;27.68;57;1.6;26437;23.99;9.54;17;0.208;6.2785;1468.72;3.88
16960950;2022-01-01 06:45:26;1;1;2022;6;45;26;27.97;58;1.58;25878;23.99;9.51;16;0.208;6.2804;1437.67;3.88
16961079;2022-01-01 06:50:40;1;1;2022;6;50;40;27.73;57;1.6;24087;23.99;9.36;17;0.205;6.2771;1338.17;3.88
16961192;2022-01-01 06:55:55;1;1;2022;6;55;55;27.44;59;1.5;22525;24.04;9.19;17;0.201;6.2797;1251.39;3.88
16961593;2022-01-01 07:11:41;1;1;2022;7;11;41;27.93;58;1.58;12914;24.09;9.21;17;0.201;6.2834;717.44;3.88
16961718;2022-01-01 07:16:56;1;1;2022;7;16;56;26.82;60;1.41;7645;24.11;9.29;17;0.203;6.2795;424.72;3.88
16962105;2022-01-01 07:32:52;1;1;2022;7;32;52;26.72;61;1.37;12838;24.16;9.16;17;0.2;6.2786;713.22;3.88
16962505;2022-01-01 07:49:14;1;1;2022;7;49;14;25.67;65;1.15;8941;24.24;9.54;16;0.206;6.2744;496.72;3.93
16962632;2022-01-01 07:54:29;1;1;2022;7;54;29;26.86;62;1.34;8583;24.27;9.38;16;0.203;6.2795;476.83;3.88
16963037;2022-01-01 08:10:21;1;1;2022;8;10;21;26.38;62;1.31;4728;24.34;9.41;16;0.203;6.2762;262.67;3.91
16963166;2022-01-01 08:15:37;1;1;2022;8;15;37;26.34;62;1.3;4648;24.37;9.21;16;0.199;6.2766;258.22;3.91
16963294;2022-01-01 08:20:52;1;1;2022;8;20;52;26.41;62;1.31;4101;24.39;9.11;16;0.197;6.276;227.83;3.91
16963425;2022-01-01 08:26:07;1;1;2022;8;26;7;26.45;61;1.35;6452;24.42;9.14;16;0.197;6.2766;358.44;3.93
16963561;2022-01-01 08:31:22;1;1;2022;8;31;22;26.35;62;1.3;6872;24.37;9.61;17;0.207;6.2764;381.78;3.88
16963695;2022-01-01 08:36:38;1;1;2022;8;36;38;26.47;62;1.31;5588;24.44;9.11;16;0.197;6.2758;310.44;3.92
16964255;2022-01-01 08:57:55;1;1;2022;8;57;55;25.03;66;1.08;2980;24.52;9.41;16;0.202;6.27;165.56;3.9
16964383;2022-01-01 09:03:11;1;1;2022;9;3;11;24.43;68;0.98;2930;24.54;9.16;16;0.197;6.2679;162.78;3.9
16964674;2022-01-01 09:13:50;1;1;2022;9;13;50;24.63;67;1.02;2722;24.57;9.48;16;0.203;6.2666;151.22;3.9
16964955;2022-01-01 09:24:29;1;1;2022;9;24;29;24.31;68;0.97;2739;24.59;9.46;16;0.202;6.2648;152.17;3.9
16965095;2022-01-01 09:29:46;1;1;2022;9;29;46;24.28;68;0.97;2255;24.62;9.59;16;0.205;6.2642;125.28;3.9
16965660;2022-01-01 09:51:05;1;1;2022;9;51;5;23.54;70;0.87;1795;24.64;9.26;16;0.198;6.2612;99.72;3.89
16966375;2022-01-01 10:18:12;1;1;2022;10;18;12;22.77;72;0.78;783;24.67;9.11;16;0.195;6.2573;43.5;3.88
16966667;2022-01-01 10:28:54;1;1;2022;10;28;54;22.54;72;0.77;339;24.67;9.46;16;0.202;6.2561;18.83;3.88
16967095;2022-01-01 10:45:02;1;1;2022;10;45;2;22.26;73;0.73;24;24.72;9.29;16;0.198;6.2544;1.33;3.88
16967371;2022-01-01 10:55:54;1;1;2022;10;55;54;22.1;74;0.69;0;24.69;9.21;16;0.197;6.2533;0;3.88
16967516;2022-01-01 11:01:13;1;1;2022;11;1;13;22.04;74;0.69;0;24.72;9.43;16;0.201;6.2527;0;3.88
16967799;2022-01-01 11:12:05;1;1;2022;11;12;5;21.89;75;0.66;0;24.69;9.48;16;0.202;6.2515;0;3.88
16967931;2022-01-01 11:17:24;1;1;2022;11;17;24;21.9;75;0.66;0;24.72;9.14;16;0.195;6.251;0;3.88
16968222;2022-01-01 11:28:12;1;1;2022;11;28;12;21.75;76;0.62;0;24.67;9.43;16;0.201;6.2499;0;3.88
16968518;2022-01-01 11:39:08;1;1;2022;11;39;8;21.54;77;0.59;0;24.72;9.48;16;0.202;6.2485;0;3.88
16968667;2022-01-01 11:44:28;1;1;2022;11;44;28;21.48;78;0.56;0;24.82;9.51;16;0.202;6.2478;0;3.88
