Identificator;Date;Month;Day;Year;Hour;Minute;Second;Temperature;Relative_humidity;Light;Soil_temperature;Permittivity;Electroconductivity;Volumetric_water_content;Diameter;Battery_voltage
16948482;2022-01-01 00:07:19;1;1;2022;0;7;19;21.87;85;1211;24.11;8.21;15;0.181;6.9807;3.88
16949959;2022-01-01 00:34:25;1;1;2022;0;34;25;23.03;82;3020;24.04;8.26;15;0.183;6.9803;3.91
16950275;2022-01-01 00:39:49;1;1;2022;0;39;49;23.03;81;2208;24.04;8.21;15;0.182;6.981;3.9
16950574;2022-01-01 00:45:02;1;1;2022;0;45;2;23.15;81;2886;24.04;8.28;15;0.183;6.9814;3.9
16950868;2022-01-01 00:50:15;1;1;2022;0;50;15;22.83;82;1296;24.04;8.21;15;0.182;6.9825;3.89
16951437;2022-01-01 01:00:40;1;1;2022;1;0;40;22.44;83;1722;24.01;8.35;15;0.185;6.9827;3.89
16952636;2022-01-01 01:21:50;1;1;2022;1;21;50;22.39;84;1147;23.99;8.17;15;0.181;6.9832;3.89
16953037;2022-01-01 01:32:27;1;1;2022;1;32;27;22.39;85;3036;24.01;8.28;15;0.183;6.9826;3.91
16953172;2022-01-01 01:37:41;1;1;2022;1;37;41;22.58;84;3031;23.99;8.21;15;0.182;6.9827;3.91
16953589;2022-01-01 01:53:45;1;1;2022;1;53;45;23.84;81;5458;23.99;8.26;15;0.183;6.9811;3.94
16953885;2022-01-01 02:04:30;1;1;2022;2;4;30;24.93;77;4030;23.96;8.37;15;0.186;6.9825;3.92
16954025;2022-01-01 02:09:41;1;1;2022;2;9;41;25.21;76;4519;23.96;8.24;15;0.183;6.983;3.92
16954298;2022-01-01 02:20:10;1;1;2022;2;20;10;26.13;73;6928;23.99;8.24;15;0.183;6.9849;3.95
16954559;2022-01-01 02:30:43;1;1;2022;2;30;43;24.68;75;4218;23.99;8.31;15;0.184;6.9874;3.92
16954693;2022-01-01 02:35:55;1;1;2022;2;35;55;24.51;76;3538;23.99;8.35;15;0.185;6.9884;3.92
16954975;2022-01-01 02:46:24;1;1;2022;2;46;24;23.71;79;3280;23.99;8.19;15;0.182;6.9886;3.91
16955119;2022-01-01 02:51:36;1;1;2022;2;51;36;24.84;77;5981;24.01;8.33;15;0.184;6.9866;3.94
16955381;2022-01-01 03:02:06;1;1;2022;3;2;6;24.27;76;4918;24.01;8.12;15;0.18;6.9889;3.93
16955511;2022-01-01 03:07:18;1;1;2022;3;7;18;24.57;75;5731;24.04;8.26;15;0.183;6.9877;3.94
16955639;2022-01-01 03:12:31;1;1;2022;3;12;31;24.89;74;4695;24.06;8.24;15;0.182;6.9897;3.93
16955776;2022-01-01 03:17:43;1;1;2022;3;17;43;24.73;74;3221;24.06;8.24;15;0.182;6.9897;3.91
16955916;2022-01-01 03:22:55;1;1;2022;3;22;55;24.31;75;3433;24.06;8.21;15;0.182;6.9904;3.92
16956315;2022-01-01 03:38:36;1;1;2022;3;38;36;25.13;73;3925;24.11;8.12;14;0.179;6.9908;3.92
16956582;2022-01-01 03:49:06;1;1;2022;3;49;6;24.79;73;13743;24.16;8.21;14;0.181;6.9911;4
16956714;2022-01-01 03:54:18;1;1;2022;3;54;18;25.54;71;5991;24.16;8.26;14;0.182;6.9918;3.94
16956845;2022-01-01 03:59:30;1;1;2022;3;59;30;25.24;72;12907;24.22;8.26;14;0.181;6.9933;4
16956975;2022-01-01 04:04:42;1;1;2022;4;4;42;26.83;69;29128;24.19;8.19;14;0.18;6.989;4
16957091;2022-01-01 04:09:53;1;1;2022;4;9;53;27.01;68;4346;24.22;8.19;14;0.18;6.9941;3.92
16957213;2022-01-01 04:15:05;1;1;2022;4;15;5;26.37;69;5333;24.22;8.19;14;0.18;6.9942;3.94
