Identificator;Date;Month;Day;Year;Hour;Minute;Second;Temperature;Relative_humidity;Vapor_Pressure_Deficit;Light;Soil_temperature;Permittivity;Electroconductivity;Volumetric_water_content;Diameter;Photosynthetically_Active_Radiation;Battery_voltage
16948322;2022-01-01 00:00:50;1;1;2022;0;0;50;20.98;88;0.3;1352;23.25;9.29;50;0.209;12.7286;75.11;3.89
16948937;2022-01-01 00:16:53;1;1;2022;0;16;53;21.48;87;0.33;1641;23.25;9.41;49;0.211;12.7232;91.17;3.89
16949252;2022-01-01 00:22:12;1;1;2022;0;22;12;21.65;87;0.34;1924;23.23;9.41;49;0.211;12.7233;106.89;3.9
16949878;2022-01-01 00:33:03;1;1;2022;0;33;3;22.39;86;0.38;2895;23.3;9.36;49;0.21;12.7196;160.83;3.92
16950196;2022-01-01 00:38:33;1;1;2022;0;38;33;22.53;85;0.41;3910;23.23;9.38;49;0.21;12.7184;217.22;3.92
16950495;2022-01-01 00:43:51;1;1;2022;0;43;51;22.48;85;0.41;4208;23.23;9.29;49;0.209;12.7155;233.78;3.92
16951093;2022-01-01 00:54:33;1;1;2022;0;54;33;22.27;85;0.4;2324;23.2;9.38;48;0.211;12.7142;129.11;3.91
16951696;2022-01-01 01:05:09;1;1;2022;1;5;9;22.2;85;0.4;2722;23.2;9.21;48;0.207;12.7139;151.22;3.91
16952008;2022-01-01 01:10:27;1;1;2022;1;10;27;22.14;85;0.4;3577;23.2;9.26;49;0.208;12.7142;198.72;3.92
16952305;2022-01-01 01:15:45;1;1;2022;1;15;45;22.2;86;0.37;4130;23.17;9.36;49;0.21;12.7133;229.44;3.93
16952594;2022-01-01 01:21:03;1;1;2022;1;21;3;22.19;86;0.37;1859;23.2;9.36;48;0.21;12.714;103.28;3.91
16953448;2022-01-01 01:47:59;1;1;2022;1;47;59;22.69;85;0.41;6636;23.15;9.43;48;0.212;12.7125;368.67;3.95
16953716;2022-01-01 01:58:41;1;1;2022;1;58;41;23.51;84;0.46;17565;23.15;9.24;48;0.208;12.7098;975.83;3.94
16953874;2022-01-01 02:03:59;1;1;2022;2;3;59;24.04;83;0.51;17236;23.15;9.24;48;0.208;12.7071;957.56;3.94
16954150;2022-01-01 02:14:39;1;1;2022;2;14;39;24.31;82;0.55;21704;23.12;9.36;48;0.211;12.7033;1205.78;3.9
