Identificator;Date;Month;Day;Year;Hour;Minute;Second;Temperature;Relative_humidity;Light;Soil_temperature;Permittivity;Electroconductivity;Volumetric_water_content;Diameter;Battery_voltage
16948322;2022-01-01 00:00:50;1;1;2022;0;0;50;20.98;88;1352;23.25;9.29;50;0.209;12.7286;3.89
16948937;2022-01-01 00:16:53;1;1;2022;0;16;53;21.48;87;1641;23.25;9.41;49;0.211;12.7232;3.89
16949252;2022-01-01 00:22:12;1;1;2022;0;22;12;21.65;87;1924;23.23;9.41;49;0.211;12.7233;3.9
16949878;2022-01-01 00:33:03;1;1;2022;0;33;3;22.39;86;2895;23.3;9.36;49;0.21;12.7196;3.92
16950196;2022-01-01 00:38:33;1;1;2022;0;38;33;22.53;85;3910;23.23;9.38;49;0.21;12.7184;3.92
16950495;2022-01-01 00:43:51;1;1;2022;0;43;51;22.48;85;4208;23.23;9.29;49;0.209;12.7155;3.92
16951093;2022-01-01 00:54:33;1;1;2022;0;54;33;22.27;85;2324;23.2;9.38;48;0.211;12.7142;3.91
16951696;2022-01-01 01:05:09;1;1;2022;1;5;9;22.2;85;2722;23.2;9.21;48;0.207;12.7139;3.91
16952008;2022-01-01 01:10:27;1;1;2022;1;10;27;22.14;85;3577;23.2;9.26;49;0.208;12.7142;3.92
16952305;2022-01-01 01:15:45;1;1;2022;1;15;45;22.2;86;4130;23.17;9.36;49;0.21;12.7133;3.93
16952594;2022-01-01 01:21:03;1;1;2022;1;21;3;22.19;86;1859;23.2;9.36;48;0.21;12.714;3.91
16953448;2022-01-01 01:47:59;1;1;2022;1;47;59;22.69;85;6636;23.15;9.43;48;0.212;12.7125;3.95
16953716;2022-01-01 01:58:41;1;1;2022;1;58;41;23.51;84;17565;23.15;9.24;48;0.208;12.7098;3.94
16953874;2022-01-01 02:03:59;1;1;2022;2;3;59;24.04;83;17236;23.15;9.24;48;0.208;12.7071;3.94
16954150;2022-01-01 02:14:39;1;1;2022;2;14;39;24.31;82;21704;23.12;9.36;48;0.211;12.7033;3.9
16954292;2022-01-01 02:19:56;1;1;2022;2;19;56;24.58;81;25818;23.12;9.31;48;0.21;12.7016;3.9
16954702;2022-01-01 02:36:16;1;1;2022;2;36;16;24.89;79;9998;23.12;9.29;48;0.209;12.695;3.9
16954851;2022-01-01 02:41:32;1;1;2022;2;41;32;24.28;79;4302;23.12;9.48;48;0.213;12.6964;3.93
16955132;2022-01-01 02:52:06;1;1;2022;2;52;6;24.14;81;4105;23.12;9.51;48;0.214;12.6983;3.92
16955662;2022-01-01 03:13:34;1;1;2022;3;13;34;24.35;78;6269;23.12;9.38;48;0.211;12.698;3.95
16955949;2022-01-01 03:24:14;1;1;2022;3;24;14;24.11;78;5114;23.12;9.24;48;0.209;12.6987;3.94
16956223;2022-01-01 03:34:55;1;1;2022;3;34;55;24.68;77;9051;23.1;9.29;48;0.21;12.6979;3.9
16956498;2022-01-01 03:45:35;1;1;2022;3;45;35;24.49;77;8846;23.1;9.19;48;0.208;12.698;3.9
16956762;2022-01-01 03:56:15;1;1;2022;3;56;15;25.08;76;9284;23.12;9.26;48;0.209;12.6964;3.9
16956897;2022-01-01 04:01:32;1;1;2022;4;1;32;25.2;76;33523;23.12;9.38;48;0.211;12.6957;3.9
16957022;2022-01-01 04:06:48;1;1;2022;4;6;48;26.38;75;11238;23.12;9.29;48;0.209;12.6932;3.9
16957143;2022-01-01 04:12:04;1;1;2022;4;12;4;26.06;73;8803;23.15;9.24;48;0.208;12.6918;3.9
16957261;2022-01-01 04:17:20;1;1;2022;4;17;20;25.51;73;12220;23.15;9.33;48;0.21;12.6929;3.9
16957418;2022-01-01 04:22:36;1;1;2022;4;22;36;25.44;74;12620;23.12;9.36;48;0.211;12.6932;3.9
16957546;2022-01-01 04:27:52;1;1;2022;4;27;52;25.25;74;27433;23.15;9.21;48;0.208;12.6935;3.9
16957807;2022-01-01 04:38:31;1;1;2022;4;38;31;26.63;72;35817;23.17;9.29;48;0.209;12.6914;3.9
16957946;2022-01-01 04:43:46;1;1;2022;4;43;46;27.06;71;15762;23.15;9.29;48;0.209;12.6881;3.9
16958220;2022-01-01 04:54:24;1;1;2022;4;54;24;25.89;72;21922;23.17;9.31;48;0.209;12.691;3.9
16958351;2022-01-01 04:59:39;1;1;2022;4;59;39;25.91;71;13916;23.2;9.31;48;0.209;12.6914;3.9
16958623;2022-01-01 05:10:24;1;1;2022;5;10;24;25.96;71;8518;23.2;9.24;48;0.208;12.6916;3.9
16958881;2022-01-01 05:21:25;1;1;2022;5;21;25;25.49;73;12338;23.2;9.21;48;0.207;12.6931;3.9
16959134;2022-01-01 05:31:57;1;1;2022;5;31;57;25.44;72;10342;23.25;9.29;48;0.209;12.6929;3.9
16959268;2022-01-01 05:37:13;1;1;2022;5;37;13;25.52;72;30860;23.25;9.21;48;0.207;12.6933;3.9
16959675;2022-01-01 05:53:13;1;1;2022;5;53;13;26.58;70;6360;23.3;9.31;48;0.209;12.6894;3.9
16959799;2022-01-01 05:58:28;1;1;2022;5;58;28;26.86;68;10283;23.3;9.21;48;0.207;12.6896;3.9
16959924;2022-01-01 06:03:44;1;1;2022;6;3;44;27.05;69;14423;23.3;9.14;48;0.205;12.6896;3.9
16960054;2022-01-01 06:08:59;1;1;2022;6;8;59;27.12;69;8889;23.33;9.31;48;0.208;12.6899;3.9
16960186;2022-01-01 06:14:14;1;1;2022;6;14;14;26.99;70;5220;23.33;9.24;48;0.207;12.69;3.9
16960570;2022-01-01 06:30:14;1;1;2022;6;30;14;26.63;69;16985;23.38;9.26;48;0.207;12.6915;3.9
16960695;2022-01-01 06:35:29;1;1;2022;6;35;29;26.89;68;7903;23.4;9.26;48;0.207;12.6914;3.9
16960968;2022-01-01 06:46:13;1;1;2022;6;46;13;27.29;67;8439;23.43;9.41;47;0.21;12.6917;3.9
16961092;2022-01-01 06:51:28;1;1;2022;6;51;28;26.96;68;14177;23.45;9.26;48;0.207;12.6924;3.9
16961210;2022-01-01 06:56:43;1;1;2022;6;56;43;27.11;68;7754;23.45;9.29;48;0.207;12.692;3.9
16961354;2022-01-01 07:01:58;1;1;2022;7;1;58;27.1;69;16475;23.48;9.41;48;0.209;12.6929;3.9
16961486;2022-01-01 07:07:13;1;1;2022;7;7;13;27.34;69;5522;23.48;9.31;48;0.207;12.6922;3.93
16961865;2022-01-01 07:23:12;1;1;2022;7;23;12;25.78;71;6597;23.53;9.26;47;0.206;12.6975;3.95
16961988;2022-01-01 07:28:29;1;1;2022;7;28;29;25.79;71;17945;23.56;9.36;47;0.208;12.6987;3.9
16962128;2022-01-01 07:33:45;1;1;2022;7;33;45;25.95;71;6376;23.58;9.29;47;0.206;12.6993;3.95
16962261;2022-01-01 07:39:01;1;1;2022;7;39;1;25.64;73;8783;23.61;9.29;47;0.206;12.7;3.9
